Experiment_ID,Parameter_Varied,Parameter_Value,Accuracy,Precision,Recall,F1_Score,Num_Parameters,Training_Time_Min,g2,w2,s2,g3,w3,s3,g4,w4,s4,g5,w5,s5,sm2,sm3,sm4,sm5,wtp2,wtp3,wtp4,wtp5
2,g2,1,0.7482,0.7703,0.7482,0.7337,86583,4.94,1,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
3,g2,3,0.7554,0.7618,0.7554,0.7466,87351,5.1,3,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
4,g2,4,0.7482,0.7501,0.7482,0.7425,87735,5.14,4,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
5,g2,5,0.7626,0.7836,0.7626,0.7485,88119,5.14,5,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
6,g2,6,0.7554,0.7722,0.7554,0.752,88503,5.21,6,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
7,g3,1,0.7482,0.7511,0.7482,0.7368,81847,4.99,2,2,2,1,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
8,g3,2,0.741,0.7567,0.741,0.7399,84407,5.03,2,2,2,2,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
9,g3,4,0.7554,0.739,0.7554,0.7395,89527,5.28,2,2,2,4,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
10,g3,5,0.7338,0.7319,0.7338,0.7248,92087,5.39,2,2,2,5,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
11,g3,6,0.7482,0.7274,0.7482,0.7281,94647,5.43,2,2,2,6,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
12,g3,7,0.7626,0.7826,0.7626,0.7575,97207,5.58,2,2,2,7,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
13,g4,2,0.7554,0.765,0.7554,0.7479,54199,5.12,2,2,2,3,15,5,2,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
14,g4,3,0.7482,0.7443,0.7482,0.7378,70583,5.18,2,2,2,3,15,5,3,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
15,g4,5,0.7554,0.7706,0.7554,0.7495,103351,5.22,2,2,2,3,15,5,5,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
16,g4,6,0.7482,0.7541,0.7482,0.7469,119735,5.32,2,2,2,3,15,5,6,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
17,g4,7,0.7338,0.7366,0.7338,0.7273,136119,5.49,2,2,2,3,15,5,7,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
18,g4,8,0.741,0.7049,0.741,0.718,152503,5.36,2,2,2,3,15,5,8,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
19,g5,2,0.741,0.7482,0.741,0.7333,81087,5.41,2,2,2,3,15,5,4,25,14,2,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
20,g5,3,0.741,0.7497,0.741,0.7382,84027,5.46,2,2,2,3,15,5,4,25,14,3,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
21,g5,5,0.741,0.7647,0.741,0.7235,89907,5.41,2,2,2,3,15,5,4,25,14,5,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
22,g5,6,0.7626,0.7732,0.7626,0.7602,92847,5.32,2,2,2,3,15,5,4,25,14,6,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
23,g5,7,0.7266,0.7314,0.7266,0.723,95787,5.43,2,2,2,3,15,5,4,25,14,7,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
24,g5,8,0.7554,0.7803,0.7554,0.7423,98727,5.32,2,2,2,3,15,5,4,25,14,8,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
25,w2,1,0.6691,0.6805,0.6691,0.6517,86967,5.26,2,1,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
26,w2,3,0.741,0.7437,0.741,0.7281,86711,5.16,2,3,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
27,w2,4,0.6978,0.7322,0.6978,0.6818,86711,5.23,2,4,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
28,w2,5,0.6547,0.6963,0.6547,0.6293,86455,5.25,2,5,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
29,w2,6,0.6835,0.6421,0.6835,0.6543,86455,5.25,2,6,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
30,w3,5,0.7554,0.7767,0.7554,0.7489,88503,4.97,2,2,2,3,5,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
31,w3,10,0.7338,0.7218,0.7338,0.7125,87735,5.21,2,2,2,3,10,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
32,w3,20,0.7482,0.7458,0.7482,0.743,86199,5.45,2,2,2,3,20,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
33,w3,25,0.7266,0.7327,0.7266,0.7216,85431,5.49,2,2,2,3,25,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
34,w3,30,0.741,0.7494,0.741,0.7384,84663,5.35,2,2,2,3,30,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
35,w3,35,0.7194,0.7194,0.7194,0.7128,83895,5.45,2,2,2,3,35,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
36,w4,15,0.7626,0.7686,0.7626,0.7578,95159,5.4,2,2,2,3,15,5,4,15,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
37,w4,20,0.7554,0.769,0.7554,0.7518,86967,5.43,2,2,2,3,15,5,4,20,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
38,w4,30,0.7698,0.785,0.7698,0.7698,86967,5.39,2,2,2,3,15,5,4,30,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
39,w4,35,0.741,0.7562,0.741,0.7375,78775,5.46,2,2,2,3,15,5,4,35,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
40,w4,40,0.7194,0.7438,0.7194,0.7168,78775,5.5,2,2,2,3,15,5,4,40,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
41,w4,45,0.7482,0.7808,0.7482,0.7332,70583,5.38,2,2,2,3,15,5,4,45,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
42,w5,60,0.741,0.7405,0.741,0.7376,87583,5.35,2,2,2,3,15,5,4,25,14,4,60,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
43,w5,110,0.741,0.7549,0.741,0.7337,87303,5.52,2,2,2,3,15,5,4,25,14,4,110,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
44,w5,210,0.7482,0.7449,0.7482,0.7369,86687,5.4,2,2,2,3,15,5,4,25,14,4,210,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
45,w5,260,0.741,0.7289,0.741,0.719,86351,5.27,2,2,2,3,15,5,4,25,14,4,260,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
46,w5,310,0.741,0.7512,0.741,0.7301,86071,5.37,2,2,2,3,15,5,4,25,14,4,310,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
47,w5,360,0.7338,0.7368,0.7338,0.7241,85735,5.48,2,2,2,3,15,5,4,25,14,4,360,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
48,s2,1,0.7482,0.7737,0.7482,0.7332,87479,5.47,2,2,1,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
49,s2,4,0.6403,0.6119,0.6403,0.6137,86711,5.2,2,2,4,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
50,s2,6,0.3597,0.3245,0.3597,0.2939,86455,5.1,2,2,6,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
51,s2,8,0.3669,0.3066,0.3669,0.3229,86455,5.09,2,2,8,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
52,s2,10,0.3669,0.3431,0.3669,0.3405,86455,5.09,2,2,10,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
53,s3,1,0.741,0.7459,0.741,0.7373,117687,9.15,2,2,2,3,15,1,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
54,s3,3,0.7482,0.7483,0.7482,0.7394,92343,5.91,2,2,2,3,15,3,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
55,s3,7,0.7338,0.7105,0.7338,0.7144,85431,5.05,2,2,2,3,15,7,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
56,s3,9,0.741,0.7516,0.741,0.7326,83895,4.99,2,2,2,3,15,9,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
57,s3,11,0.7266,0.7384,0.7266,0.7158,83127,4.71,2,2,2,3,15,11,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
58,s3,13,0.7266,0.6964,0.7266,0.7051,82359,4.62,2,2,2,3,15,13,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
59,s4,4,0.7482,0.724,0.7482,0.7319,234423,5.77,2,2,2,3,15,5,4,25,4,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
60,s4,9,0.741,0.7111,0.741,0.7241,119735,5.36,2,2,2,3,15,5,4,25,9,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
61,s4,19,0.7338,0.7521,0.7338,0.7305,70583,5.18,2,2,2,3,15,5,4,25,19,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
62,s4,24,0.741,0.7293,0.741,0.7238,62391,5.25,2,2,2,3,15,5,4,25,24,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
63,s4,29,0.7482,0.7448,0.7482,0.7355,54199,5.27,2,2,2,3,15,5,4,25,29,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
64,s4,34,0.7338,0.76,0.7338,0.7197,54199,5.19,2,2,2,3,15,5,4,25,34,4,160,9,True,False,False,True,boxcar,bartlett,hamming,boxcar
65,s5,4,0.7626,0.7642,0.7626,0.7555,101695,5.24,2,2,2,3,15,5,4,25,14,4,160,4,True,False,False,True,boxcar,bartlett,hamming,boxcar
66,s5,14,0.7482,0.7402,0.7482,0.737,82767,5.31,2,2,2,3,15,5,4,25,14,4,160,14,True,False,False,True,boxcar,bartlett,hamming,boxcar
67,s5,19,0.7482,0.7616,0.7482,0.7414,80807,5.37,2,2,2,3,15,5,4,25,14,4,160,19,True,False,False,True,boxcar,bartlett,hamming,boxcar
68,s5,24,0.7266,0.7491,0.7266,0.7121,79631,5.25,2,2,2,3,15,5,4,25,14,4,160,24,True,False,False,True,boxcar,bartlett,hamming,boxcar
69,s5,29,0.7194,0.7407,0.7194,0.7107,78903,5.25,2,2,2,3,15,5,4,25,14,4,160,29,True,False,False,True,boxcar,bartlett,hamming,boxcar
70,sm2,False,0.741,0.7404,0.741,0.7332,86967,5.25,2,2,2,3,15,5,4,25,14,4,160,9,False,False,False,True,boxcar,bartlett,hamming,boxcar
71,sm3,True,0.7626,0.7612,0.7626,0.7502,86967,5.28,2,2,2,3,15,5,4,25,14,4,160,9,True,True,False,True,boxcar,bartlett,hamming,boxcar
72,sm4,True,0.741,0.7291,0.741,0.7245,86967,5.25,2,2,2,3,15,5,4,25,14,4,160,9,True,False,True,True,boxcar,bartlett,hamming,boxcar
73,sm5,False,0.7482,0.7409,0.7482,0.7384,86967,5.31,2,2,2,3,15,5,4,25,14,4,160,9,True,False,False,False,boxcar,bartlett,hamming,boxcar
74,wtp2,hann,0.6763,0.6751,0.6763,0.6585,86967,5.39,2,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,hann,bartlett,hamming,boxcar
75,wtp2,hamming,0.7122,0.725,0.7122,0.7066,86967,5.37,2,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,hamming,bartlett,hamming,boxcar
76,wtp2,bartlett,0.6547,0.6645,0.6547,0.6558,86967,5.18,2,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,bartlett,bartlett,hamming,boxcar
77,wtp2,blackman,0.6763,0.6989,0.6763,0.6716,86967,5.17,2,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,blackman,bartlett,hamming,boxcar
78,wtp2,kaiser,0.6475,0.6708,0.6475,0.6325,86967,5.18,2,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,kaiser,bartlett,hamming,boxcar
79,wtp3,hann,0.741,0.7238,0.741,0.7204,86967,5.18,2,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,hann,hamming,boxcar
80,wtp3,hamming,0.7482,0.7377,0.7482,0.7298,86967,5.23,2,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,hamming,hamming,boxcar
81,wtp3,boxcar,0.7266,0.7112,0.7266,0.709,86967,5.26,2,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,boxcar,hamming,boxcar
82,wtp3,blackman,0.7338,0.7114,0.7338,0.7164,86967,5.27,2,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,blackman,hamming,boxcar
83,wtp3,kaiser,0.7698,0.7895,0.7698,0.7662,86967,5.33,2,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,kaiser,hamming,boxcar
84,wtp4,hann,0.741,0.7377,0.741,0.7322,86967,5.26,2,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hann,boxcar
85,wtp4,bartlett,0.7338,0.7431,0.7338,0.7298,86967,5.25,2,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,bartlett,boxcar
86,wtp4,boxcar,0.7482,0.7422,0.7482,0.7345,86967,5.3,2,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,boxcar,boxcar
87,wtp4,blackman,0.7698,0.7848,0.7698,0.7671,86967,5.37,2,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,blackman,boxcar
88,wtp4,kaiser,0.741,0.7445,0.741,0.7356,86967,5.24,2,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,kaiser,boxcar
89,wtp5,hann,0.7482,0.7643,0.7482,0.7429,86967,5.31,2,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,hann
90,wtp5,hamming,0.7482,0.7739,0.7482,0.7452,86967,5.36,2,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,hamming
91,wtp5,bartlett,0.7482,0.7304,0.7482,0.7242,86967,5.21,2,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,bartlett
92,wtp5,blackman,0.741,0.7399,0.741,0.739,86967,5.26,2,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,blackman
93,wtp5,kaiser,0.7266,0.7222,0.7266,0.7052,86967,5.34,2,2,2,3,15,5,4,25,14,4,160,9,True,False,False,True,boxcar,bartlett,hamming,kaiser
