LayerType,Best_Epoch,Best_Train_Accuracy,Best_Test_Accuracy,Num_Params,Train_Time_sec
MLP,28,0.99615,0.9811,33482,33.37450353400345
KANLayer,40,0.9998166666666667,0.9801,66966,48.806489424001484
KALNLayer,39,0.99625,0.9807,66964,47.452766829999746
GRAMLayer,39,0.9961166666666667,0.9823,66966,47.44045359099982
FastKANLayer,39,1.0,0.9808,101450,49.5296980399944
WavKANLayer,31,0.9998833333333333,0.9829,133780,113.75349972300319
ChebyKAN,30,0.99245,0.9799,66964,45.42275033600163
BernsteinKANLayer,32,0.9941666666666666,0.9803,66964,46.406993160999264
NaiveFourierKANLayer,35,0.9990166666666667,0.9817,66890,44.70221496699378
"STFTKANLayer(3,40,5)",40,0.95405,0.9506,36854,54.913613012002315
"STFTKANLayer(2,40,10)",39,0.9298,0.9296,12482,54.953408100998786
"STFTKANLayer(6,50,9)",37,0.9630333333333333,0.9582,40250,55.28613978100475
"STFTKANLayer(5,50,10)",40,0.95725,0.9564,30354,54.97618085299473
"STFTKANLayer(7,60,10)",30,0.9582666666666667,0.9565,41430,55.286497326000244
"STFTKANLayer(20,60,10)",27,0.9814833333333334,0.9747,118234,65.1145655520013
"STFTKANLayer(12,60,5)",31,0.97495,0.9685,140090,89.28024077400187
"STFTKANLayer(40,160,20)",35,0.9728166666666667,0.9687,93034,83.69318332200055
"STFTKANLayer(10,20,20)",37,0.9818,0.9728,32674,55.24143488700065
"STFTKANLayer(5,20,20)",39,0.9688166666666667,0.9643,16374,53.50088219699683
"STFTKANLayer(5,20,25)",37,0.96035,0.9563,13074,53.2175833959991
"STFTKANLayer(5,20,22)",34,0.9647833333333333,0.9615,15094,52.89479828900221
